SalesID,DateKey,VehicleKey,LocationKey,CustomerKey,SellerKey,SalePrice,MarketPrice_MMR,CommissionEarned,InflationRate,Profit_vs_Market,CreatedDate
1,20141216,1,1,1,1,9200.0,11400.0,460.0,1.46,-2200.0,2025-12-18 08:57:42.699947
2,20141216,2,1,2,2,18000.0,17150.0,900.0,1.46,850.0,2025-12-18 08:57:42.699947
3,20141230,3,1,3,1,7800.0,9775.0,390.0,1.46,-1975.0,2025-12-18 08:57:42.699947
4,20141217,4,1,4,3,14100.0,13500.0,705.0,1.46,600.0,2025-12-18 08:57:42.699947
5,20141217,5,1,5,4,4500.0,11650.0,225.0,1.46,-7150.0,2025-12-18 08:57:42.699947
6,20141218,6,1,6,5,13500.0,13200.0,675.0,1.46,300.0,2025-12-18 08:57:42.699947
7,20141217,7,1,7,6,22000.0,21800.0,1100.0,1.46,200.0,2025-12-18 08:57:42.699947
8,20141223,8,1,8,7,20500.0,21200.0,1025.0,1.46,-700.0,2025-12-18 08:57:42.699947
9,20141218,9,1,9,8,11000.0,12650.0,550.0,1.46,-1650.0,2025-12-18 08:57:42.699947
10,20150113,10,1,10,9,24200.0,25200.0,1210.0,1.46,-1000.0,2025-12-18 08:57:42.699947
11,20141216,11,1,11,10,9500.0,10600.0,475.0,1.46,-1100.0,2025-12-18 08:57:42.699947
12,20141223,12,1,12,11,19500.0,18850.0,975.0,1.46,650.0,2025-12-18 08:57:42.699947
13,20141216,13,1,13,4,7000.0,16800.0,350.0,1.46,-9800.0,2025-12-18 08:57:42.699947
14,20141217,14,1,14,12,18500.0,18850.0,925.0,1.46,-350.0,2025-12-18 08:57:42.699947
15,20141217,15,1,15,11,27000.0,26900.0,1350.0,1.46,100.0,2025-12-18 08:57:42.699947
16,20141217,16,1,16,12,20250.0,19900.0,1012.5,1.46,350.0,2025-12-18 08:57:42.699947
17,20141218,17,1,17,2,14800.0,13300.0,740.0,1.46,1500.0,2025-12-18 08:57:42.699947
18,20141217,18,1,18,13,21000.0,17950.0,1050.0,1.46,3050.0,2025-12-18 08:57:42.699947
19,20141217,19,1,19,14,10500.0,10500.0,525.0,1.46,0.0,2025-12-18 08:57:42.699947
20,20141217,20,1,20,11,26500.0,26600.0,1325.0,1.46,-100.0,2025-12-18 08:57:42.699947
21,20141216,21,1,21,15,18500.0,16950.0,925.0,1.46,1550.0,2025-12-18 08:57:42.699947
22,20141217,22,1,22,16,13000.0,12950.0,650.0,1.46,50.0,2025-12-18 08:57:42.699947
23,20141217,23,1,23,9,25900.0,30500.0,1295.0,1.46,-4600.0,2025-12-18 08:57:42.699947
24,20141222,24,1,24,16,34000.0,30200.0,1700.0,1.46,3800.0,2025-12-18 08:57:42.699947
25,20141217,25,1,25,9,16200.0,14550.0,810.0,1.46,1650.0,2025-12-18 08:57:42.699947
26,20141217,26,1,26,9,17600.0,16600.0,880.0,1.46,1000.0,2025-12-18 08:57:42.699947
27,20141217,27,1,27,17,23700.0,24400.0,1185.0,1.46,-700.0,2025-12-18 08:57:42.699947
28,20141223,28,1,28,18,11700.0,11500.0,585.0,1.46,200.0,2025-12-18 08:57:42.699947
29,20141231,29,1,29,11,9900.0,9575.0,495.0,1.46,325.0,2025-12-18 08:57:42.699947
30,20141222,30,1,30,16,12400.0,11850.0,620.0,1.46,550.0,2025-12-18 08:57:42.699947
31,20141217,31,1,31,9,17100.0,16850.0,855.0,1.46,250.0,2025-12-18 08:57:42.699947
32,20141218,32,1,32,19,14600.0,13550.0,730.0,1.46,1050.0,2025-12-18 08:57:42.699947
33,20141223,33,1,33,5,17500.0,17250.0,875.0,1.46,250.0,2025-12-18 08:57:42.699947
34,20141229,34,1,34,16,28000.0,28300.0,1400.0,1.46,-300.0,2025-12-18 08:57:42.699947
35,20141217,35,1,35,1,15500.0,23200.0,775.0,1.46,-7700.0,2025-12-18 08:57:42.699947
36,20141217,36,1,36,20,27000.0,25800.0,1350.0,1.46,1200.0,2025-12-18 08:57:42.699947
37,20141217,37,1,37,2,16600.0,15900.0,830.0,1.46,700.0,2025-12-18 08:57:42.699947
38,20141217,38,1,38,21,13800.0,12550.0,690.0,1.46,1250.0,2025-12-18 08:57:42.699947
39,20141222,39,1,39,16,14900.0,14950.0,745.0,1.46,-50.0,2025-12-18 08:57:42.699947
40,20141218,40,1,40,22,15700.0,15200.0,785.0,1.46,500.0,2025-12-18 08:57:42.699947
41,20141216,41,1,41,4,4000.0,10900.0,200.0,1.46,-6900.0,2025-12-18 08:57:42.699947
42,20141216,42,1,42,15,17750.0,15700.0,887.5,1.46,2050.0,2025-12-18 08:57:42.699947
